key,version,title,keywords,description,kickOffMoment,closeOutMoment,draftMode,key:manager

# base
project-00,1,"Lorem ipsum dolor sit amet, consecte","lorem ipsum dolor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/01 00:00","2025/01/02 00:00",true,manager-01

# title variants
project-01,1,,"lorem ipsum dolor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/01 00:00","2025/01/02 00:00",true,manager-01
project-02,1,"","lorem ipsum dolor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/01 00:00","2025/01/02 00:00",true,manager-01
project-03,1,"   ","lorem ipsum dolor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/01 00:00","2025/01/02 00:00",true,manager-01
project-04,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tem","lorem ipsum dolor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/01 00:00","2025/01/02 00:00",true,manager-01

# keywords variants
project-05,1,"Lorem ipsum dolor sit amet, consecte",,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/01 00:00","2025/01/02 00:00",true,manager-01
project-06,1,"Lorem ipsum dolor sit amet, consecte","","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/01 00:00","2025/01/02 00:00",true,manager-01
project-07,1,"Lorem ipsum dolor sit amet, consecte","   ","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/01 00:00","2025/01/02 00:00",true,manager-01
project-08,1,"Lorem ipsum dolor sit amet, consecte","lorem ipsum dolor sit amet consectetur adipiscing elit sed do eiusmod tempor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/01 00:00","2025/01/02 00:00",true,manager-01

# description variants
project-09,1,"Lorem ipsum dolor sit amet, consecte","lorem ipsum dolor",,"2025/01/01 00:00","2025/01/02 00:00",true,manager-01
project-10,1,"Lorem ipsum dolor sit amet, consecte","lorem ipsum dolor","","2025/01/01 00:00","2025/01/02 00:00",true,manager-01
project-11,1,"Lorem ipsum dolor sit amet, consecte","lorem ipsum dolor","   ","2025/01/01 00:00","2025/01/02 00:00",true,manager-01
project-12,1,"Lorem ipsum dolor sit amet, consecte","lorem ipsum dolor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur.","2025/01/01 00:00","2025/01/02 00:00",true,manager-01

# moment variants (kickOff + closeOut)
project-13,1,"Lorem ipsum dolor sit amet, consecte","lorem ipsum dolor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/01 00:00","2024/12/31 23:59",false,manager-01
project-14,1,"Lorem ipsum dolor sit amet, consecte","lorem ipsum dolor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",,"2025/01/02 00:00",false,manager-01
project-15,1,"Lorem ipsum dolor sit amet, consecte","lorem ipsum dolor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/01 00:00",,false,manager-01
project-16,1,"Lorem ipsum dolor sit amet, consecte","lorem ipsum dolor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/01 00:00",false,manager-01
project-17,1,"Lorem ipsum dolor sit amet, consecte","lorem ipsum dolor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/01 00:00","2025/01/01 00:00",false,manager-01

# draftMode variants
project-18,1,"Lorem ipsum dolor sit amet, consecte","lorem ipsum dolor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/01 00:00","2025/01/02 00:00",,manager-01

# manager variants
project-19,1,"Lorem ipsum dolor sit amet, consecte","lorem ipsum dolor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/01 00:00","2025/01/02 00:00",true,

# base with draftMode = false
project-20,1,"Lorem ipsum dolor sit amet, consecte","lorem ipsum dolor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/01 00:00","2025/01/02 00:00",false,manager-01
