key,version,ticker,name,description,start_moment,end_moment,more_info,draft_mode,key:auditor,key:project
# base
audit-report-00,1,AA01-aaa00,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/02 00:00,2025/01/03 00:00,http://lorem.com/ipsum,true,auditor-01,
# AA01 variants
audit-report-01,1,AA01-aaaaa,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/02 00:00,2025/01/03 00:00,http://lorem.com/ipsum,true,auditor-01,
audit-report-02,1,AA01-aaaan,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/02 00:00,2025/01/03 00:00,http://lorem.com/ipsum,true,auditor-01,
audit-report-03,1,AA01-12345,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/02 00:00,2025/01/03 00:00,http://lorem.com/ipsum,true,auditor-01,
audit-report-04,1,BB99-aaaaa,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/02 00:00,2025/01/03 00:00,http://lorem.com/ipsum,true,auditor-01,
audit-report-05,1,AA01-aaaab,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/02 00:00,2025/01/03 00:00,http://lorem.com/ipsum,true,auditor-01,
audit-report-06,1,AA05-aaaa333,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/02 00:00,2025/01/03 00:00,http://lorem.com/ipsum,true,auditor-01,
# name variants
audit-report-07,1,AA01-aaa02,L,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/02 00:00,2025/01/03 00:00,http://lorem.com/ipsum,true,auditor-01,
audit-report-08,1,AA01-aaa03,Lo,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/02 00:00,2025/01/03 00:00,http://lorem.com/ipsum,true,auditor-01,
audit-report-09,1,AA01-aaa04,Lorem,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/02 00:00,2025/01/03 00:00,http://lorem.com/ipsum,true,auditor-01,
audit-report-10,1,AA01-aaa05,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/02 00:00,2025/01/03 00:00,http://lorem.com/ipsum,true,auditor-01,
audit-report-11,1,AA01-aaa06,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",2025/01/02 00:00,2025/01/03 00:00,http://lorem.com/ipsum,true,auditor-01,
