key,version,ticker,name,description,start_moment,end_moment,more_info,draft_mode,key:spokesperson,key:project

# base
campaign-00,1,"AA01-aaa00","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,spokesperson-01,project-00

# AA01 varias
campaign-01,1,"AA01-aaaaa","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,spokesperson-01,
campaign-02,1,"AA01-aaaan","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,spokesperson-01,
campaign-03,1,"AA01-12345","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,spokesperson-01,
campaign-04,1,"BB99-aaaaa","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,spokesperson-01,
campaign-05,1,"AA01-aaaab","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,spokesperson-01,
campaign-06,1,"AA05-aaaa333","Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00","http://lorem.com/ipsum",true,spokesperson-01,

# name variants
