key,version,title,keywords,description,kickOffMoment,closeOutMoment,draftMode,key:manager

# base
project-00,1,"Lorem ipsum dolor sit amet, consecte","lorem, ipsum, dolor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00",true,manager-01

# title variants
project-01,1,"L","lorem, ipsum, dolor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00",true,manager-01
project-02,1,"Lo","lorem, ipsum, dolor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00",true,manager-01
project-03,1,"Lorem","lorem, ipsum, dolor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00",true,manager-01
project-04,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t","lorem, ipsum, dolor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00",true,manager-01
project-05,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te","lorem, ipsum, dolor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00",true,manager-01
project-06,1,"لوريم إيبسوم","lorem, ipsum, dolor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00",true,manager-01
project-07,1,"洛伦·伊普森","lorem, ipsum, dolor","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*","2025/01/02 00:00","2025/01/03 00:00",true,manager-01
