key,ticker,name,description,startMoment,endMoment,moreInfo,draftMode,key:sponsor
sponsorship-01,BI26-ABCDE,Reforestación,Esto es una descripción,2026/04/15 10:00,2026/10/15 10:00,https://example.com/product1,true,sponsor-01
sponsorship-02,AA26-ABCDEF,Reforestación,Esto es una descripción,2026/04/15 10:00,2027/04/15 08:00,https://example.com/product1,true,sponsor-01
sponsorship-03,ZZ26-SCHOLARRES,Reforestación,Esto es una descripción,2026/04/15 10:00,2026/12/01 18:00,https://example.com/product1,true,sponsor-01
sponsorship-04,ME26-VACCINESW,Reforestación,Esto es una descripción,2026/04/15 10:00,2027/04/15 08:00,https://example.com/product1,true,sponsor-01
sponsorship-05,AZ26-VACCINE,Reforestación,Esto es una descripción,2026/04/15 10:00,2027/04/15 08:00,https://example.com/product1,true,sponsor-01
sponsorship-06,BI29-ABCDE,R,Esto es una descripción,2026/04/15 10:00,2026/10/15 10:00,https://example.com/product1,true,sponsor-01
sponsorship-07,BI31-ABCDE,Iniciativa Global para la Reducción de Emisiones de Carbono en la Industria,Esto es una descripción,2026/04/15 10:00,2026/10/15 10:00,https://example.com/product1,true,sponsor-01
sponsorship-08,BI32-ABCDE,Iniciativa Global para la Reducción de Emisiones de Carbono en la Industri,Esto es una descripción,2026/04/15 10:00,2026/10/15 10:00,https://example.com/product1,true,sponsor-01
sponsorship-09,BI33-ABCDE,Re,Esto es una descripción,2026/04/15 10:00,2026/10/15 10:00,https://example.com/product1,true,sponsor-01
sponsorship-10,BI99-ABCDE,อิปซั,Esto es una descripción,2026/04/15 10:00,2026/10/15 10:00,https://example.com/product1,true,sponsor-01
sponsorship-11,BI30-ABCDE,Reforestación,E,2026/04/15 10:00,2026/10/15 10:00,https://example.com/product1,true,sponsor-01
sponsorship-12,BI34-ABCDE,Reforestación,Es,2026/04/15 10:00,2026/10/15 10:00,https://example.com/product1,true,sponsor-01
sponsorship-13,BI28-ABCDE,Reforestación,"Este proyecto de reforestación masiva en la zona norte tiene como objetivo plantar diez mil árboles autóctonos en un periodo de tres años, promoviendo la biodiversidad local, recuperando los suelos degradados y creando nuevos espacios de recreo y ocio....",2026/04/15 10:00,2026/10/15 10:00,https://example.com/product1,true,sponsor-01
sponsorship-14,BI27-ABCDE,Reforestación,"Este proyecto de reforestación masiva en la zona norte tiene como objetivo plantar diez mil árboles autóctonos en un periodo de tres años, promoviendo la biodiversidad local, recuperando los suelos degradados y creando nuevos espacios de recreo y ocio...",2026/04/15 10:00,2026/10/15 10:00,https://example.com/product1,true,sponsor-01
sponsorship-15,BI35-ABCDE,Reforestación,เร็ม อิปซัม,2026/04/15 10:00,2026/10/15 10:00,https://example.com/product1,true,sponsor-01
sponsorship-16,BI36-ABCDE,Reforestación,Esto es una descripción,2025/01/01 00:00,2026/10/15 10:00,https://example.com/product1,true,sponsor-01
sponsorship-17,BI37-ABCDE,Reforestación,Esto es una descripción,2025/01/01 00:01,2026/10/15 10:00,https://example.com/product1,true,sponsor-01
sponsorship-18,BI38-ABCDE,Reforestación,Esto es una descripción,2200/12/31 23:57,2200/12/31 23:59,https://example.com/product1,true,sponsor-01
