key,version,description,draft_mode,end_moment,more_info,name,start_moment,ticker,key:fundraiser
#Description
strategy-01,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2026/07/02 12:00,AA01-aaa01,fundraiser-01
strategy-02,1,L,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2026/07/02 12:00,AA01-aaa02,fundraiser-01
strategy-03,1,Lo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2026/07/02 12:00,AA01-aaa03,fundraiser-01
strategy-04,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2026/07/02 12:00,AA01-aaa04,fundraiser-01
strategy-05,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2026/07/02 12:00,AA01-aaa05,fundraiser-01
strategy-06,1,โลเร็ม อิปซัม,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2026/07/02 12:00,AA01-aaa06,fundraiser-01
strategy-07,1,لوريم إيبسوم,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2026/07/02 12:00,AA01-aaa07,fundraiser-01
strategy-08,1,洛伦·伊普森,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2026/07/02 12:00,AA01-aaa08,fundraiser-01
strategy-09,1,<marquee>Hacked</marquee>,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2026/07/02 12:00,AA01-aaa09,fundraiser-01
strategy-10,1,<script>alert(‘Hacked!’);</script>,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2026/07/02 12:00,AA01-aaa10,fundraiser-01
strategy-11,1,' or 'A' = 'A,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2026/07/02 12:00,AA01-aaa11,fundraiser-01
#Draft-mode
strategy-12,1,ejemplo,false,2026/07/02 10:00,https://www.investing.com/strategies/conservative,ejemplo,2026/07/01 12:00,AA01-aaa12,fundraiser-01
strategy-13,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2026/07/02 12:00,AA01-aaa13,fundraiser-01
#end_moment
strategy-14,1,ejemplo,true,2026/01/08 0:00,https://www.investing.com/strategies/conservative,ejemplo,2026/01/02 12:00,AA01-aaa14,fundraiser-01
strategy-15,1,ejemplo,false,2026/08/02 0:01,https://www.investing.com/strategies/conservative,ejemplo,2026/08/01 12:00,AA01-aaa15,fundraiser-01
strategy-16,1,ejemplo,true,2200/12/31 23:59,https://www.investing.com/strategies/conservative,ejemplo,2026/07/02 12:00,AA01-aaa16,fundraiser-01
strategy-17,1,ejemplo,true,2200/12/30 0:00,https://www.investing.com/strategies/conservative,ejemplo,2026/07/02 12:00,AA01-aaa17,fundraiser-01
#more_info
strategy-18,1,ejemplo,true,2026/07/01 0:00,http://lorem.com/ipsum,ejemplo,2026/07/02 12:00,AA01-aaa18,fundraiser-01
strategy-19,1,ejemplo,true,2026/07/01 0:00,http://a.b,ejemplo,2026/07/02 12:00,AA01-aaa19,fundraiser-01
strategy-20,1,ejemplo,true,2026/07/01 0:00,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",ejemplo,2026/07/02 12:00,AA01-aaa20,fundraiser-01
strategy-21,1,ejemplo,true,2026/07/01 0:00,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",ejemplo,2026/07/02 12:00,AA01-aaa21,fundraiser-01
