key,version,description,draft_mode,end_moment,more_info,name,start_moment,ticker,key:sponsor,key:project
#Description
sponsorship-01,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2026/01/18 12:00,AA01-aaa01,sponsor-01,
sponsorship-02,1,L,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2026/01/18 12:00,AA01-aaa02,sponsor-01,
sponsorship-03,1,Lo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2026/01/18 12:00,AA01-aaa03,sponsor-01,
sponsorship-04,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2026/01/18 12:00,AA01-aaa04,sponsor-01,
sponsorship-05,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2026/01/18 12:00,AA01-aaa05,sponsor-01,
sponsorship-06,1,โลเร็ม อิปซัม,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2026/01/18 12:00,AA01-aaa06,sponsor-01,
sponsorship-07,1,لوريم إيبسوم,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2026/01/18 12:00,AA01-aaa07,sponsor-01,
sponsorship-08,1,洛伦·伊普森,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2026/01/18 12:00,AA01-aaa08,sponsor-01,
sponsorship-09,1,<marquee>Hacked</marquee>,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2026/01/18 12:00,AA01-aaa09,sponsor-01,
sponsorship-10,1,<script>alert(‘Hacked!’);</script>,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2026/01/18 12:00,AA01-aaa10,sponsor-01,
sponsorship-11,1,' or 'A' = 'A,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2026/01/18 12:00,AA01-aaa11,sponsor-01,
#Draft-mode
sponsorship-12,1,ejemplo,false,2026/07/01 10:00,https://www.investing.com/strategies/conservative,OTHER-SPONSORSHIP,2026/01/18 12:00,AA01-aaa12,sponsor-01,
sponsorship-13,1,ejemplo,true,2026/07/01 10:00,https://www.investing.com/strategies/conservative,ejemplo,2026/01/18 12:00,AA01-aaa13,sponsor-01,
#end_moment
sponsorship-14,1,ejemplo,true,2026/01/08 0:00,https://www.investing.com/strategies/conservative,ejemplo,2026/01/02 12:00,AA01-aaa14,sponsor-01,
sponsorship-15,1,ejemplo,false,2026/08/02 0:01,https://www.investing.com/strategies/conservative,PUB-SPONSORSHIP,2026/08/01 12:00,AA01-aaa15,sponsor-01,
sponsorship-16,1,ejemplo,true,2200/12/31 23:59,https://www.investing.com/strategies/conservative,ejemplo,2026/01/18 12:00,AA01-aaa16,sponsor-01,
sponsorship-17,1,ejemplo,true,2200/12/30 0:00,https://www.investing.com/strategies/conservative,ejemplo,2026/01/18 12:00,AA01-aaa17,sponsor-01,
#more_info
sponsorship-18,1,ejemplo,true,2026/07/01 0:00,http://lorem.com/ipsum,ejemplo,2026/01/18 12:00,AA01-aaa18,sponsor-01,
sponsorship-19,1,ejemplo,true,2026/07/01 0:00,http://a.b,ejemplo,2026/01/18 12:00,AA01-aaa19,sponsor-01,
