key,version,description,expected_percentage,kind,name,key:Strategy
#Expected_Percentage
tactic-01,1,ejemplo,50.00,SUBTLE,ejemplo,strategy-02
tactic-02,1,ejemplo,0.00,SUBTLE,ejemplo,strategy-02
tactic-03,1,ejemplo,0.01,SUBTLE,ejemplo,strategy-02
tactic-04,1,ejemplo,99.99,SUBTLE,ejemplo,strategy-03
tactic-05,1,ejemplo,100.00,SUBTLE,ejemplo,strategy-04
#Description
tactic-06,1,լոռեմ իպսում,1.00,SUBTLE,ejemplo,strategy-01
tactic-07,1,天飽雲馬消根清歡寫尾做兒幫,1.00,SUBTLE,ejemplo,strategy-01
tactic-08,1,ლორემ იფსუმ,1.00,SUBTLE,ejemplo,strategy-01
tactic-09,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",1.00,SUBTLE,ejemplo,strategy-01
tactic-10,1,L,1.00,SUBTLE,ejemplo,strategy-01
tactic-11,1,Lo,1.00,SUBTLE,ejemplo,strategy-01
tactic-12,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",1.00,SUBTLE,ejemplo,strategy-01
tactic-13,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",1.00,SUBTLE,ejemplo,strategy-01
tactic-14,1,<marquee>Hacked</marquee>,1.00,SUBTLE,ejemplo,strategy-01
tactic-15,1,' or 'A' = 'A,1.00,SUBTLE,ejemplo,strategy-01
tactic-16,1,<script>alert(‘Hacked!’);</script>,1.00,SUBTLE,ejemplo,strategy-01
#Kind
tactic-17,1,ejemplo,1.00,SUBTLE,ejemplo,strategy-01
tactic-18,1,ejemplo,1.00,AGGRESSIVE,ejemplo,strategy-01
tactic-19,1,ejemplo,1.00,TENDER,ejemplo,strategy-01
#Name
tactic-20,1,ejemplo,1.00,SUBTLE,"Lorem ipsum dolor sit amet,consectetu",strategy-01
tactic-21,1,ejemplo,1.00,SUBTLE,"L",strategy-01
tactic-22,1,ejemplo,1.00,SUBTLE,"Lo",strategy-01
tactic-23,1,ejemplo,1.00,SUBTLE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t",strategy-01
tactic-24,1,ejemplo,1.00,SUBTLE,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te",strategy-01
tactic-25,1,ejemplo,1.00,SUBTLE,"โลเร็ม อิปซัม",strategy-01
tactic-26,1,ejemplo,1.00,SUBTLE,"لوريم إيبسوم",strategy-01
tactic-27,1,ejemplo,1.00,SUBTLE,"洛伦·伊普森",strategy-01
tactic-28,1,ejemplo,1.00,SUBTLE,"<marquee>Hacked</marquee>",strategy-01
tactic-29,1,ejemplo,1.00,SUBTLE,"<script>alert(‘Hacked!’);</script>",strategy-01
tactic-30,1,ejemplo,1.00,SUBTLE,"' or 'A' = 'A ",strategy-01
#Base
tactic-31,1,ejemplo,50.00,SUBTLE,ejemplo,strategy-13
tactic-32,1,ejemplo,0.00,SUBTLE,ejemplo,strategy-12
tactic-33,1,ejemplo,0.01,SUBTLE,ejemplo,strategy-12
tactic-34,1,ejemplo,15.00,SUBTLE,ejemplo,strategy-12
tactic-35,1,ejemplo,75.00,SUBTLE,ejemplo,strategy-15
#Fundraiser2
tactic-36,1,ejemplo,50.00,SUBTLE,ejemplo,strategy-51
tactic-37,1,ejemplo,0.00,SUBTLE,ejemplo,strategy-51
tactic-38,1,ejemplo,0.01,SUBTLE,ejemplo,strategy-52
tactic-39,1,ejemplo,15.00,SUBTLE,ejemplo,strategy-52
